Period,Acute lower respiratory infections,Birth asphyxia and birth trauma,Congenital anomalies,Diarrhoeal diseases,HIV/AIDS,Injuries,Malaria,Measles,Meningitis/encephalitis,Other Group 1 and Other noncommunicable (neonatal and under-5 only),"Other communicable, perinatal and nutritional conditions",Other noncommunicable diseases,Prematurity,Sepsis and other infectious conditions of the newborn,Tetanus,Tuberculosis
2000,1783876,1278381,646510,1389011,306558,417720,829219,756332,369711,693936,680824,329390,1778889,416736,82017,274228
2001,1732810,1267314,637626,1341373,304878,401670,831378,802917,363565,706190,658391,321021,1738032,408545,74155,273066
2002,1697285,1246035,636193,1310966,300559,411062,818792,848272,352324,678174,643361,311149,1703022,397903,66131,271877
2003,1684603,1211678,623410,1256260,283765,401695,797028,760751,354784,669725,612329,297072,1659690,388987,59061,266038
2004,1658792,1191727,623527,1189449,275718,428950,793844,602749,346357,648967,591819,287394,1624828,380851,52772,255539
2005,1621166,1158782,639988,1126035,276108,421026,772987,542102,353183,647975,528158,264905,1612105,369543,56752,250317
2006,1536242,1124679,638748,1093400,283311,397077,753031,461669,321908,612992,547294,269592,1574044,358640,49800,261541
2007,1463378,1104087,642593,1042275,282625,397296,724799,344666,296085,611627,524746,260231,1563680,352308,44430,247355
2008,1443765,1085573,649757,983970,254559,437598,680476,389184,306763,592291,492809,249167,1529376,344343,39264,241922
2009,1392942,1075337,645028,935519,240963,415638,686254,279411,265828,582646,486057,246128,1507179,336725,34942,247595
2010,1351508,1039207,662550,915906,220511,418061,666416,262501,243589,576985,473861,241532,1480865,328367,31752,231972
2011,1305690,1025916,670070,885600,201806,421576,619378,254599,231168,559577,458918,236184,1455261,331609,29255,226867
2012,1267342,1002674,681244,849782,174205,450870,587381,148430,238427,547517,430692,228400,1425114,331840,27657,240199
2013,1217525,986656,670780,838900,150545,454492,560110,190190,225715,532875,412269,222838,1406293,322408,26162,226913
2014,1172626,952339,671950,809517,143109,457920,547194,109966,209186,512311,402593,220334,1371581,314086,24489,233125
2015,1109671,929448,683609,788787,133935,442906,553512,147580,181419,491342,400902,219602,1339851,307809,22536,225953
2016,1049146,910592,679076,774247,121225,448878,560271,104776,170181,475055,393217,217482,1308541,301695,20722,219382
2017,997860,885611,672460,718468,118778,438745,559481,134164,174102,466585,361162,206272,1287189,293076,18968,215458
2018,966504,852232,673623,675237,104838,439629,553428,136050,170416,447756,340584,197734,1264228,285965,18232,204963
2019,935384,836701,654158,636344,101074,432198,543685,168887,166243,442437,322345,190053,1229464,277855,17242,197816
2020,920483,813846,636746,598370,96541,424004,560775,103901,165093,434429,300603,181853,1194025,269622,16871,202455
2021,888969,823634,622711,585275,87676,415656,564286,151463,173339,428805,286455,173321,1163284,264148,16265,207316
