series,year,cases,incidence_per_million
diphtheria-global,2000,11625,2
diphtheria-global,2001,10725,1.9
diphtheria-global,2002,9035,1.5
diphtheria-global,2003,7154,1.2
diphtheria-global,2004,10069,1.7
diphtheria-global,2005,8137,1.4
diphtheria-global,2006,4333,0.7
diphtheria-global,2007,4642,0.8
diphtheria-global,2008,4978,0.8
diphtheria-global,2009,4349,0.7
diphtheria-global,2010,4603,0.7
diphtheria-global,2011,5626,0.9
diphtheria-global,2012,4490,0.7
diphtheria-global,2013,4680,0.7
diphtheria-global,2014,7774,1.6
diphtheria-global,2015,4535,0.7
diphtheria-global,2016,7102,1.1
diphtheria-global,2017,8819,1.3
diphtheria-global,2018,16911,2.4
diphtheria-global,2019,22989,3.4
diphtheria-global,2020,10137,1.5
diphtheria-global,2021,8659,1.3
diphtheria-global,2022,10027,1.4
diphtheria-global,2023,24782,4.2
diphtheria-global,2024,25147,3.5
diphtheria-global,2025,30205,4
