series,year,cases,incidence_per_million
measles-global,1980,3852242,866.14
measles-global,1981,4078455,900.56
measles-global,1982,3623758,785.61
measles-global,1983,3586101,763.43
measles-global,1984,3026973,632.97
measles-global,1985,2819553,579.09
measles-global,1986,2078696,419.25
measles-global,1987,1682847,333.25
measles-global,1988,1663940,323.6
measles-global,1989,1822390,348.15
measles-global,1990,1325074,248.71
measles-global,1991,1370243,252.87
measles-global,1992,1481192,269.01
measles-global,1993,1143945,204.58
measles-global,1994,926808,163.3
measles-global,1995,720391,125.09
measles-global,1996,870218,148.96
measles-global,1997,825673,139.36
measles-global,1998,694466,115.61
measles-global,1999,752407,123.57
measles-global,2000,853479,138.29
measles-global,2001,849173,135.76
measles-global,2002,586471,92.54
measles-global,2003,679856,105.89
measles-global,2004,513406,78.94
measles-global,2005,585701,88.92
measles-global,2006,377576,56.6
measles-global,2007,285031,42.18
measles-global,2008,278751,40.73
measles-global,2009,278637,40.19
measles-global,2010,343806,48.96
measles-global,2011,359332,50.53
measles-global,2012,212376,29.49
measles-global,2013,275307,37.76
measles-global,2014,282078,38.21
measles-global,2015,214808,28.75
measles-global,2016,132490,17.53
measles-global,2017,173457,22.69
measles-global,2018,359295,46.48
measles-global,2019,873373,111.81
measles-global,2020,159240,20.19
measles-global,2021,123152,15.48
measles-global,2022,206775,25.78
measles-global,2023,669083,82.69
measles-global,2024,675533,83.48
