series,year,cases,incidence_per_million
mumps-global,2000,544093,316.8
mumps-global,2001,412341,229.7
mumps-global,2002,487932,309.9
mumps-global,2003,334524,200.6
mumps-global,2004,654216,213.8
mumps-global,2005,619062,212.4
mumps-global,2006,643321,194.1
mumps-global,2007,407873,119.6
mumps-global,2008,537740,156.6
mumps-global,2009,546684,151
mumps-global,2010,619389,163.6
mumps-global,2011,726638,196
mumps-global,2012,687934,187
mumps-global,2013,516316,137.3
mumps-global,2014,311602,85.6
mumps-global,2015,385781,101.1
mumps-global,2016,592174,157.2
mumps-global,2017,560784,151.1
mumps-global,2018,502132,128.1
mumps-global,2019,169898,81.7
mumps-global,2020,279270,66.4
mumps-global,2021,241742,43.4
mumps-global,2022,381029,70
mumps-global,2023,387586,95.2
mumps-global,2024,245062,67.2
mumps-global,2025,234954,41.2
