series,year,cases,incidence_per_million
pertussis-global,2000,190475,33.5
pertussis-global,2001,174847,30.8
pertussis-global,2002,135944,23.1
pertussis-global,2003,116598,20.1
pertussis-global,2004,245377,41.1
pertussis-global,2005,152784,25.9
pertussis-global,2006,127410,20.7
pertussis-global,2007,139521,30.9
pertussis-global,2008,148095,24.6
pertussis-global,2009,166592,26.2
pertussis-global,2010,161234,26.5
pertussis-global,2011,173441,27.1
pertussis-global,2012,250330,39.6
pertussis-global,2013,172109,26.1
pertussis-global,2014,186438,28.3
pertussis-global,2015,156065,24
pertussis-global,2016,174624,26
pertussis-global,2017,163030,23
pertussis-global,2018,169240,23.2
pertussis-global,2019,149849,23
pertussis-global,2020,69605,9.9
pertussis-global,2021,30402,4.6
pertussis-global,2022,64313,9
pertussis-global,2023,163400,22.7
pertussis-global,2024,941893,137.1
pertussis-global,2025,265317,37.3
