series,year,cases,incidence_per_million
under5-all-cause-deaths,2000,12033338,
under5-all-cause-deaths,2001,11862931,
under5-all-cause-deaths,2002,11693105,
under5-all-cause-deaths,2003,11326876,
under5-all-cause-deaths,2004,10953283,
under5-all-cause-deaths,2005,10641132,
under5-all-cause-deaths,2006,10283968,
under5-all-cause-deaths,2007,9902181,
under5-all-cause-deaths,2008,9720817,
under5-all-cause-deaths,2009,9378192,
under5-all-cause-deaths,2010,9145583,
under5-all-cause-deaths,2011,8913474,
under5-all-cause-deaths,2012,8631774,
under5-all-cause-deaths,2013,8444671,
under5-all-cause-deaths,2014,8152326,
under5-all-cause-deaths,2015,7978862,
under5-all-cause-deaths,2016,7754486,
under5-all-cause-deaths,2017,7548379,
under5-all-cause-deaths,2018,7331419,
under5-all-cause-deaths,2019,7151886,
under5-all-cause-deaths,2020,6919617,
under5-all-cause-deaths,2021,6852603,
