series,year,cases,incidence_per_million
under5-measles-deaths,2000,756332,
under5-measles-deaths,2001,802917,
under5-measles-deaths,2002,848272,
under5-measles-deaths,2003,760751,
under5-measles-deaths,2004,602749,
under5-measles-deaths,2005,542102,
under5-measles-deaths,2006,461669,
under5-measles-deaths,2007,344666,
under5-measles-deaths,2008,389184,
under5-measles-deaths,2009,279411,
under5-measles-deaths,2010,262501,
under5-measles-deaths,2011,254599,
under5-measles-deaths,2012,148430,
under5-measles-deaths,2013,190190,
under5-measles-deaths,2014,109966,
under5-measles-deaths,2015,147580,
under5-measles-deaths,2016,104776,
under5-measles-deaths,2017,134164,
under5-measles-deaths,2018,136050,
under5-measles-deaths,2019,168887,
under5-measles-deaths,2020,103901,
under5-measles-deaths,2021,151463,
