series,year,cases,incidence_per_million
under5-tetanus-deaths,2000,82017,
under5-tetanus-deaths,2001,74155,
under5-tetanus-deaths,2002,66131,
under5-tetanus-deaths,2003,59061,
under5-tetanus-deaths,2004,52772,
under5-tetanus-deaths,2005,56752,
under5-tetanus-deaths,2006,49800,
under5-tetanus-deaths,2007,44430,
under5-tetanus-deaths,2008,39264,
under5-tetanus-deaths,2009,34942,
under5-tetanus-deaths,2010,31752,
under5-tetanus-deaths,2011,29255,
under5-tetanus-deaths,2012,27657,
under5-tetanus-deaths,2013,26162,
under5-tetanus-deaths,2014,24489,
under5-tetanus-deaths,2015,22536,
under5-tetanus-deaths,2016,20722,
under5-tetanus-deaths,2017,18968,
under5-tetanus-deaths,2018,18232,
under5-tetanus-deaths,2019,17242,
under5-tetanus-deaths,2020,16871,
under5-tetanus-deaths,2021,16265,
